# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 24 511997902848 1333327872 384.0 96204.08 341801700000.0 256.35232501912327 341809200000.0 256.3579500421634 128452.923 683610900000.0 512.7102750612867
2097152000.0 24 511997902848 1333327872 384.0 96158.0 341808400000.0 256.35735003970575 341811600000.0 256.3597500495362 128393.3033 683619900000.0 512.7170250889347
2097152000.0 24 511997902848 1333327872 384.0 96200.3 341814300000.0 256.36177505783064 341805800000.0 256.3554000317185 128449.4896 683620000000.0 512.717100089242
2097152000.0 24 511997902848 1333327872 384.0 96155.56 341812400000.0 256.36035005199386 341811100000.0 256.3593750480002 128390.655 683623600000.0 512.7198001003012
2097152000.0 24 511997902848 1333327872 384.0 96209.41 341803400000.0 256.3536000243457 341809000000.0 256.357800041549 128460.9055 683612300000.0 512.7113250655874
2097152000.0 24 511997902848 1333327872 384.0 95757.37 341814900000.0 256.36222505967385 341811000000.0 256.359300047693 127859.2154 683625800000.0 512.7214501070596
2097152000.0 24 511997902848 1333327872 384.0 96176.83 341813700000.0 256.36132505598744 341806200000.0 256.3557000329473 128418.1271 683619900000.0 512.7170250889347
2097152000.0 24 511997902848 1333327872 384.0 96127.8 341805900000.0 256.3554750320257 341807000000.0 256.35630003540496 128351.1575 683612900000.0 512.7117750674306
2097152000.0 24 511997902848 1333327872 384.0 96292.51 341811700000.0 256.3598250498434 341808300000.0 256.35727503939853 128572.5998 683620000000.0 512.717100089242
2097152000.0 24 511997902848 1333327872 384.0 96124.95 341812000000.0 256.36005005076504 341811700000.0 256.3598250498434 128349.507 683623800000.0 512.7199501009155
2097152000.0 24 511997902848 1333327872 384.0 96215.24 341815300000.0 256.3625250609026 341810500000.0 256.35892504615697 128470.5711 683625700000.0 512.7213751067525
2097152000.0 24 511997902848 1333327872 384.0 96149.0 341811700000.0 256.3598250498434 341809700000.0 256.3583250436994 128381.2344 683621500000.0 512.71822509385
2097152000.0 24 511997902848 1333327872 384.0 96220.78 341815100000.0 256.36237506028823 341812500000.0 256.360425052301 128478.6156 683627600000.0 512.7228001125893
2097152000.0 24 511997902848 1333327872 384.0 96154.73 341806800000.0 256.3561500347906 341810400000.0 256.3588500458498 128387.9997 683617200000.0 512.7150000806404
2097152000.0 24 511997902848 1333327872 384.0 96210.3 341809800000.0 256.35840004400654 341813200000.0 256.3609500544514 128463.4333 683622800000.0 512.7192000978436
2097152000.0 24 511997902848 1333327872 384.0 96171.08 341809400000.0 256.3581000427777 341812000000.0 256.36005005076504 128410.7393 683621500000.0 512.71822509385
2097152000.0 24 511997902848 1333327872 384.0 96279.96 341803200000.0 256.3534500237313 341813000000.0 256.360800053837 128555.5698 683616200000.0 512.7142500775683
2097152000.0 24 511997902848 1333327872 384.0 96177.05 341814300000.0 256.36177505783064 341814600000.0 256.36200005875224 128419.6537 683629000000.0 512.7238501168902
2097152000.0 24 511997902848 1333327872 384.0 96222.66 341807300000.0 256.35652503632656 341808000000.0 256.3570500384769 128478.4792 683615500000.0 512.7137250754179
