# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 22 1023998164992 3999992832 256.0 109961.27 1025882599999.9999 256.47110959622836 256318699999.99997 64.07978983098337 137689.9778 1282201300000.0 320.55089942721173
2097152000.0 22 1023998164992 3999992832 256.0 109990.49 1025960600000.0001 256.4906096311725 256347899999.99997 64.087089844065 137738.4309 1282308400000.0 320.5776744751926
2097152000.0 22 1023998164992 3999992832 256.0 109963.0 1025841700000.0 256.4608845779052 256321000000.00003 64.08036483201379 137687.7341 1282162600000.0 320.5412244098742
2097152000.0 22 1023998164992 3999992832 256.0 109988.0 1025893399999.9999 256.47380960106676 256335300000.00003 64.08393983842019 137726.8177 1282228700000.0 320.55774943948694
2097152000.0 22 1023998164992 3999992832 256.0 109996.81 1025950700000.0001 256.48813462673724 256349499999.99997 64.0874898447818 137745.6268 1282300200000.0 320.575624471519
2097152000.0 22 1023998164992 3999992832 256.0 109995.66 1025953800000.0 256.48890962812607 256344400000.0 64.086214842497 137743.3205 1282298200000.0 320.575124470623
2097152000.0 22 1023998164992 3999992832 256.0 109948.61 1025810400000.0001 256.4530595638828 256309500000.0 64.07748982686176 137665.122 1282119900000.0 320.5305493907445
2097152000.0 22 1023998164992 3999992832 256.0 109968.95 1025860100000.0001 256.46548458614836 256317999999.99997 64.07961483066977 137697.1965 1282178000000.0 320.5450744167734
2097152000.0 22 1023998164992 3999992832 256.0 109999.72 1025910300000.0 256.478034608638 256321900000.00003 64.08058983241699 137741.2914 1282232200000.0 320.558624441055
2097152000.0 22 1023998164992 3999992832 256.0 109968.29 1025863700000.0001 256.46638458776124 256320299999.99997 64.08018983170017 137696.9268 1282183900000.0 320.5465494194165
2097152000.0 22 1023998164992 3999992832 256.0 109933.66 1025840600000.0 256.46060957741236 256312300000.0 64.07818982811617 137650.06 1282152900000.0 320.53879940552855
2097152000.0 22 1023998164992 3999992832 256.0 109942.57 1025871400000.0 256.4683095912108 256313200000.0 64.07841482851937 137664.7485 1282184600000.0 320.54672441973014
2097152000.0 22 1023998164992 3999992832 256.0 109980.78 1025938900000.0001 256.48518462145086 256342900000.0 64.08583984182499 137722.7184 1282281800000.0 320.5710244632759
2097152000.0 22 1023998164992 3999992832 256.0 109975.63 1025911300000.0 256.478284609086 256336599999.99997 64.08426483900259 137712.6532 1282247900000.0 320.56254944808865
2097152000.0 22 1023998164992 3999992832 256.0 109957.39 1025846800000.0 256.46215958019 256317600000.00003 64.07951483049058 137681.421 1282164400000.0 320.5416744106805
2097152000.0 22 1023998164992 3999992832 256.0 110001.2 1025940000000.0 256.4854596219437 256338500000.0 64.0847398398538 137748.237 1282278500000.0 320.57019946179736
2097152000.0 22 1023998164992 3999992832 256.0 109956.7 1025868800000.0 256.46765959004597 256318800000.0 64.07981483102819 137683.1225 1282187600000.0 320.5474744210741
2097152000.0 22 1023998164992 3999992832 256.0 109964.23 1025920000000.0001 256.4804596129837 256337400000.0 64.08446483936099 137699.8188 1282257400000.0 320.56492445234466
2097152000.0 22 1023998164992 3999992832 256.0 109920.77 1025897500000.0 256.4748346029036 256328400000.0 64.08221483532898 137641.8302 1282225900000.0 320.5570494382326
