# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 32 511999737856 3999997952 128.0 67663.73 504388500000.0 126.09718956176106 53200000.0 0.013300006809603486 112860.0358 504441700000.0 126.11048956857066
2097152000.0 32 511999737856 3999997952 128.0 67174.48 504610200000.0 126.15261459013868 51300000.0 0.012825006566403362 112082.5513 504661600000.0 126.16546459671788
2097152000.0 32 511999737856 3999997952 128.0 67086.1 504511000000.0 126.12781457744106 50600000.0 0.012650006476803316 111994.8754 504561700000.0 126.14048958393066
2097152000.0 32 511999737856 3999997952 128.0 66949.83 504550700000.0 126.13773958252266 50400000.0 0.012600006451203303 109651.4989 504601100000.0 126.15033958897386
2097152000.0 32 511999737856 3999997952 128.0 66143.89 504913600000.0 126.2284646289739 55200000.0 0.013800007065603618 109799.0564 504968800000.0 126.24226463603948
2097152000.0 32 511999737856 3999997952 128.0 67463.71 504604900000.0 126.15128958946028 54900000.0 0.013725007027203598 113174.9058 504659800000.0 126.16501459648747
2097152000.0 32 511999737856 3999997952 128.0 67123.69 504804500000.0 126.20118961500908 61800000.0 0.015450007910404052 113759.9545 504866200000.0 126.21661462290668
2097152000.0 32 511999737856 3999997952 128.0 68008.44 504751900000.0 126.18803960827627 53800000.0 0.013450006886403526 113821.17 504805800000.0 126.20151461517548
2097152000.0 32 511999737856 3999997952 128.0 67806.65 504747400000.0 126.18691460770029 63200000.00000001 0.015800008089604144 112990.3172 504810600000.0 126.20271461578989
2097152000.0 32 511999737856 3999997952 128.0 67623.34 504524400000.0 126.13116457915625 53900000.0 0.013475006899203532 112209.9565 504578300000.0 126.14463958605546
2097152000.0 32 511999737856 3999997952 128.0 67212.81 504785900000.0 126.19653961262827 60200000.0 0.015050007705603946 111274.5985 504846100000.0 126.21158962033388
2097152000.0 32 511999737856 3999997952 128.0 65921.28 504789500000.0 126.19743961308907 56000000.0 0.014000007168003672 112177.06 504845500000.0 126.21143962025708
2097152000.0 32 511999737856 3999997952 128.0 67315.77 504800700000.0 126.20023961452269 59100000.0 0.014775007564803872 113819.8385 504859700000.0 126.2149896220747
2097152000.0 32 511999737856 3999997952 128.0 68994.29 504712700000.0 126.17823960325866 57100000.0 0.01427500730880374 116502.7904 504769900000.0 126.19253961058028
2097152000.0 32 511999737856 3999997952 128.0 66779.49 504745700000.0 126.18648960748267 65900000.0 0.016475008435204316 112355.9139 504811500000.0 126.20293961590508
2097152000.0 32 511999737856 3999997952 128.0 67608.49 504532900000.0 126.13328958024425 52100000.0 0.013025006668803416 112211.3689 504585000000.0 126.14631458691306
2097152000.0 32 511999737856 3999997952 128.0 67402.96 504518900000.0 126.12978957845225 51900000.0 0.012975006643203403 112656.0604 504570800000.0 126.14276458509548
2097152000.0 32 511999737856 3999997952 128.0 67181.41 504796100000.0 126.19908961393388 58800000.0 0.014700007526403854 112324.2231 504854900000.0 126.2137896214603
2097152000.0 32 511999737856 3999997952 128.0 66643.49 504675100000.0 126.16883959844587 50400000.0 0.012600006451203303 114906.908 504725500000.0 126.18143960489708
